,fromPlaceName,toPlaceName,date,duration,interval
30361,Borgo a Mozzano,Sillano Giuncugnano,10-04-2023,110,60-120
30373,Borgo a Mozzano,Sillano Giuncugnano,10-04-2023,120,120+
30379,Borgo a Mozzano,Sillano Giuncugnano,10-04-2023,122,120+
30460,Borgo a Mozzano,Villa Collemandina,10-04-2023,483,120+
30474,Borgo a Mozzano,Villa Collemandina,10-04-2023,163,120+
30475,Borgo a Mozzano,Villa Collemandina,10-04-2023,95,60-120
30537,Borgo a Mozzano,Bagni di Lucca,10-01-2023,65,60-120
30661,Borgo a Mozzano,Barga,10-04-2023,44,30-60
30757,Borgo a Mozzano,Coreglia Antelminelli,10-04-2023,458,120+
30859,Borgo a Mozzano,Pescaglia,10-04-2023,79,60-120
30948,Borgo a Mozzano,Lucca,10-04-2023,53,30-60
30949,Borgo a Mozzano,Lucca,10-04-2023,49,30-60
30972,Borgo a Mozzano,Lucca,09-07-2023,53,30-60
30973,Borgo a Mozzano,Lucca,09-07-2023,52,30-60
32857,Pescaglia,Camporgiano,10-04-2023,132,120+
32860,Pescaglia,Camporgiano,10-04-2023,311,120+
33052,Pescaglia,Castelnuovo di Garfagnana,10-04-2023,307,120+
33068,Pescaglia,Castelnuovo di Garfagnana,10-04-2023,122,120+
33145,Pescaglia,Castiglione di Garfagnana,10-04-2023,195,120+
33259,Pescaglia,Fabbriche di Vergemoli,10-04-2023,114,60-120
33356,Pescaglia,Fosciandora,10-04-2023,127,120+
33452,Pescaglia,Gallicano,10-04-2023,104,60-120
33529,Pescaglia,Minucciano,10-04-2023,258,120+
33625,Pescaglia,Molazzana,10-04-2023,152,120+
33628,Pescaglia,Molazzana,10-04-2023,362,120+
33721,Pescaglia,Piazza al Serchio,10-04-2023,139,120+
33724,Pescaglia,Piazza al Serchio,10-04-2023,318,120+
33913,Pescaglia,San Romano in Garfagnana,10-04-2023,163,120+
34009,Pescaglia,Sillano Giuncugnano,10-04-2023,247,120+
34124,Pescaglia,Villa Collemandina,10-04-2023,207,120+
34201,Pescaglia,Bagni di Lucca,10-04-2023,103,60-120
34204,Pescaglia,Bagni di Lucca,10-04-2023,290,120+
34316,Pescaglia,Barga,10-04-2023,100,60-120
34412,Pescaglia,Borgo a Mozzano,10-04-2023,79,60-120
34588,Pescaglia,Lucca,10-04-2023,261,120+
34604,Pescaglia,Lucca,10-04-2023,99,60-120
34673,Lucca,Camporgiano,10-01-2023,101,60-120
34692,Lucca,Camporgiano,10-04-2023,99,60-120
34716,Lucca,Camporgiano,09-07-2023,99,60-120
34865,Lucca,Castelnuovo di Garfagnana,10-01-2023,96,60-120
34872,Lucca,Castelnuovo di Garfagnana,10-04-2023,86,60-120
34875,Lucca,Castelnuovo di Garfagnana,10-04-2023,88,60-120
34884,Lucca,Castelnuovo di Garfagnana,10-04-2023,90,60-120
34899,Lucca,Castelnuovo di Garfagnana,09-07-2023,88,60-120
34908,Lucca,Castelnuovo di Garfagnana,09-07-2023,90,60-120
34968,Lucca,Castiglione di Garfagnana,10-04-2023,146,120+
35160,Lucca,Fosciandora,10-04-2023,98,60-120
35161,Lucca,Fosciandora,10-04-2023,109,60-120
35177,Lucca,Fosciandora,10-04-2023,108,60-120
35178,Lucca,Fosciandora,10-04-2023,139,120+
35249,Lucca,Gallicano,10-01-2023,91,60-120
35256,Lucca,Gallicano,10-04-2023,68,60-120
35268,Lucca,Gallicano,10-04-2023,81,60-120
35274,Lucca,Gallicano,10-04-2023,79,60-120
35283,Lucca,Gallicano,09-07-2023,83,60-120
35369,Lucca,Minucciano,10-04-2023,218,120+
35465,Lucca,Molazzana,10-04-2023,114,60-120
35466,Lucca,Molazzana,10-04-2023,168,120+
35467,Lucca,Molazzana,10-04-2023,103,60-120
35537,Lucca,Piazza al Serchio,10-01-2023,105,60-120
35556,Lucca,Piazza al Serchio,10-04-2023,102,60-120
35580,Lucca,Piazza al Serchio,09-07-2023,102,60-120
35658,Lucca,Pieve Fosciana,10-04-2023,191,120+
35729,Lucca,San Romano in Garfagnana,10-01-2023,131,120+
35748,Lucca,San Romano in Garfagnana,10-04-2023,129,120+
35754,Lucca,San Romano in Garfagnana,10-04-2023,123,120+
35772,Lucca,San Romano in Garfagnana,09-07-2023,129,120+
35844,Lucca,Sillano Giuncugnano,10-04-2023,147,120+
35850,Lucca,Sillano Giuncugnano,10-04-2023,148,120+
36011,Lucca,Bagni di Lucca,10-01-2023,65,60-120
36022,Lucca,Bagni di Lucca,10-01-2023,66,60-120
36065,Lucca,Bagni di Lucca,09-07-2023,65,60-120
36127,Lucca,Barga,10-04-2023,132,120+
36132,Lucca,Barga,10-04-2023,79,60-120
36209,Lucca,Borgo a Mozzano,10-01-2023,50,30-60
36233,Lucca,Borgo a Mozzano,10-04-2023,42,30-60
36257,Lucca,Borgo a Mozzano,09-07-2023,42,30-60
36408,Lucca,Pescaglia,10-04-2023,61,60-120
36409,Lucca,Pescaglia,10-04-2023,57,30-60
