,source,target,weight
440,Fabbriche di Vergemoli,Gragnanella,1
441,Fabbriche di Vergemoli,Loppia,7
444,Fabbriche di Vergemoli,Mologno,12
446,Fabbriche di Vergemoli,Petrognano,5
448,Fabbriche di Vergemoli,Ponte all'Ania,2
449,Fabbriche di Vergemoli,San Donnino,5
450,Fabbriche di Vergemoli,San Pietro in Campo,12
453,Fabbriche di Vergemoli,Vergnano,5
520,Gallicano,Albiano,5
521,Gallicano,Antisciana,20
525,Gallicano,Borsigliana,5
528,Gallicano,Castelvecchio Pascoli,17
530,Gallicano,Cogna,8
531,Gallicano,Colognola,13
532,Gallicano,Cortia,11
534,Gallicano,Filecchio,14
535,Gallicano,Fornaci di Barga,21
536,Gallicano,Gragnana,13
537,Gallicano,Gragnanella,12
538,Gallicano,Livignano,1
539,Gallicano,Loppia,11
543,Gallicano,Mologno,22
544,Gallicano,Monterotondo,10
545,Gallicano,Nicciano,7
546,Gallicano,Palleroso,6
548,Gallicano,Petrognano,22
549,Gallicano,Petrognola,2
551,Gallicano,Ponte all'Ania,17
552,Gallicano,San Donnino,20
553,Gallicano,San Michele,8
554,Gallicano,San Pietro in Campo,12
557,Gallicano,Vergnano,13
656,Lucca,Albiano,8
657,Lucca,Antisciana,15
663,Lucca,Castelvecchio Pascoli,9
665,Lucca,Cogna,2
666,Lucca,Colognola,5
667,Lucca,Cortia,6
669,Lucca,Filecchio,9
670,Lucca,Fornaci di Barga,21
672,Lucca,Gragnana,10
673,Lucca,Gragnanella,1
674,Lucca,Loppia,10
677,Lucca,Mologno,21
678,Lucca,Nicciano,7
679,Lucca,Palleroso,5
681,Lucca,Petrognano,15
682,Lucca,Petrognola,5
684,Lucca,Ponte all'Ania,19
685,Lucca,San Donnino,9
686,Lucca,San Pietro in Campo,8
689,Lucca,Vergnano,12
691,Minucciano,Albiano,3
692,Minucciano,Antisciana,10
696,Minucciano,Borsigliana,14
699,Minucciano,Castelvecchio Pascoli,17
701,Minucciano,Cogna,14
702,Minucciano,Colognola,18
703,Minucciano,Cortia,19
705,Minucciano,Filecchio,2
706,Minucciano,Fornaci di Barga,19
708,Minucciano,Gragnana,19
709,Minucciano,Gragnanella,10
710,Minucciano,Livignano,14
711,Minucciano,Loppia,2
714,Minucciano,Mologno,19
715,Minucciano,Monterotondo,1
716,Minucciano,Nicciano,19
719,Minucciano,Ponte all'Ania,16
720,Minucciano,San Donnino,19
721,Minucciano,San Michele,19
722,Minucciano,San Pietro in Campo,10
725,Minucciano,Vergnano,11
727,Molazzana,Albiano,10
729,Molazzana,Borsigliana,2
730,Molazzana,Castelvecchio Pascoli,10
731,Molazzana,Cogna,3
733,Molazzana,Filecchio,10
734,Molazzana,Fornaci di Barga,10
736,Molazzana,Loppia,10
739,Molazzana,Mologno,10
741,Molazzana,Ponte all'Ania,10
742,Molazzana,San Pietro in Campo,5
744,Molazzana,Vergnano,3
861,Pescaglia,Albiano,5
867,Pescaglia,Castelvecchio Pascoli,11
869,Pescaglia,Cogna,5
870,Pescaglia,Colognola,5
872,Pescaglia,Filecchio,5
873,Pescaglia,Fornaci di Barga,13
875,Pescaglia,Gragnana,5
876,Pescaglia,Loppia,10
879,Pescaglia,Mologno,13
880,Pescaglia,Petrognano,2
881,Pescaglia,Petrognola,7
883,Pescaglia,Ponte all'Ania,13
884,Pescaglia,San Donnino,8
885,Pescaglia,San Michele,8
886,Pescaglia,San Pietro in Campo,10
889,Pescaglia,Vergnano,10
935,Piazza al Serchio,Albiano,7
936,Piazza al Serchio,Antisciana,19
