stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0200_600","Giannini","44.0460530781481","10.485810143508","2@C0200"
"2@C0205_600","Darsena Scuole 1","43.8606653469576","10.2481407260027","2@C0205"
"2@C0208_600","Via Bernini Ang.Bugneta","43.9579698408553","10.2169240465619","2@C0208"
"2@C0211_600","Materna Padule","43.8108843894831","10.6178787317121","2@C0211"
"2@C0212_600","Via M.Polo Cimiteri","43.8839563320009","10.2438452304435","2@C0212"
"2@C0214_600","V.Aurelia Ang Pascoli 1","43.8793106375613","10.2502990317884","2@C0214"
"2@C0215_600","Via Aurelia Nord Pam","43.8697952679344","10.2567381692147","2@C0215"
"2@C0218_600","Seggio Alto","44.0557411521936","10.5013499251699","2@C0218"
"2@C0225_600","V.Aurelia Ang Pascoli 2","43.8794589161425","10.2499131495007","2@C0225"
"2@C0229_600","Via Aurelia Cimitero 1","43.8840922103654","10.2465275839536","2@C0229"
"2@C0235_600","Darsena Scuole 2","43.860516402411","10.2480194048466","2@C0235"
"2@C0241_600","Viale Carducci Ang. Via Xx Settembre","43.8709135025332","10.241535362515","2@C0241"
"2@C0243_600","Viale Carducci 44 (Royal)","43.8763663624631","10.2383211778021","2@C0243"
"2@C0244_600","V.Le Carducci Civ.59","43.8786088841371","10.2370155395625","2@C0244"
"2@C0245_600","Principe Piemonte 2","43.8811329623057","10.235533576007","2@C0245"
"2@C0247_600","V.Le Belluomini Ang.Zara","43.8860595535326","10.2324111628326","2@C0247"
"2@C0249_600","V.Le Colombo Cassa Risp.","43.8908507580239","10.2289446440829","2@C0249"
"2@C0251_600","Lido Di Camaiore 1","43.8935078867076","10.2267488824111","2@C0251"
"2@C0252_600","Viale Colombo 163","43.8965170852256","10.2244620920569","2@C0252"
"2@C0265_600","Via Pisana Civ.5559","43.8322070624788","10.4289672094969","2@C0265"
"2@C0269_600","Via Trieste Ang.Italica","43.9008405690884","10.2284052040456","2@C0269"
"2@C0278_600","Via Ville Grillo","43.8699951475475","10.5438422048115","2@C0278"
"2@C0279_600","Via Ville Grillo","43.8702711719558","10.5437373218941","2@C0279"
"2@C0282_600","L. Camaiore Arlecchino 2","43.9015521682658","10.2200560868542","2@C0282"
"2@C0283_600","Viale Colombo Ang. Via Carducci","43.8987066709172","10.2226190121243","2@C0283"
"2@C0284_600","V.Le Colombo","43.896342405417","10.224379137044","2@C0284"
"2@C0285_600","Lido Di Camaiore 2","43.8936273614469","10.226481441749","2@C0285"
