service_id,date,exception_type
"4493_482229","20231020","1"
"4493_482229","20231021","1"
"4493_482229","20231023","1"
"4493_482229","20231024","1"
"4493_482229","20231025","1"
"4493_482229","20231026","1"
"4493_482229","20231027","1"
"4493_482229","20231028","1"
"4493_482229","20231030","1"
"4493_482229","20231031","1"
"4493_482229","20231102","1"
"4493_482229","20231106","1"
"4493_482229","20231107","1"
"4493_482229","20231108","1"
"4493_482229","20231109","1"
"4493_482229","20231110","1"
"4493_482229","20231111","1"
"4493_482229","20231113","1"
"4493_482229","20231114","1"
"4493_482229","20231115","1"
"4493_482229","20231116","1"
"4493_482229","20231117","1"
"4493_482229","20231118","1"
"4493_482229","20231120","1"
"4493_482229","20231121","1"
"4493_482229","20231122","1"
"4493_482229","20231123","1"
"4493_482229","20231124","1"
"4493_482229","20231125","1"
"4493_482229","20231127","1"
"4493_482229","20231128","1"
"4493_482229","20231129","1"
"4493_482229","20231130","1"
"4493_482229","20231201","1"
"4493_482229","20231202","1"
"4493_482229","20231204","1"
"4493_482229","20231205","1"
"4493_482229","20231206","1"
"4493_482229","20231207","1"
"4493_482229","20231209","1"
"4493_482229","20231211","1"
"4493_482229","20231212","1"
"4493_482229","20231213","1"
"4493_482229","20231214","1"
"4493_482229","20231215","1"
"4493_482229","20231216","1"
"4493_482229","20231218","1"
"4493_482229","20231219","1"
"4493_482229","20231220","1"
"4493_482229","20231221","1"
"4493_482229","20231222","1"
"4493_482229","20231223","1"
"4493_482229","20231227","1"
"4493_482229","20231228","1"
"4493_482229","20231229","1"
"4493_482229","20231230","1"
"4493_482230","20230915","1"
"4493_482230","20230916","1"
"4493_482230","20230918","1"
"4493_482230","20230919","1"
"4493_482230","20230920","1"
"4493_482230","20230921","1"
"4493_482230","20230922","1"
"4493_482230","20230923","1"
"4493_482230","20230925","1"
"4493_482230","20230926","1"
"4493_482230","20230927","1"
"4493_482230","20230928","1"
"4493_482230","20230929","1"
"4493_482230","20230930","1"
"4493_482230","20231002","1"
"4493_482230","20231003","1"
"4493_482230","20231004","1"
"4493_482230","20231005","1"
"4493_482230","20231006","1"
"4493_482230","20231007","1"
"4493_482230","20231009","1"
"4493_482230","20231010","1"
"4493_482230","20231011","1"
"4493_482230","20231012","1"
"4493_482230","20231013","1"
"4493_482230","20231014","1"
"4493_482230","20231016","1"
"4493_482230","20231017","1"
"4493_482230","20231018","1"
"4493_482230","20231019","1"
"4493_482230","20231020","1"
"4493_482230","20231021","1"
"4493_482230","20231023","1"
"4493_482230","20231024","1"
"4493_482230","20231025","1"
"4493_482230","20231026","1"
"4493_482230","20231027","1"
"4493_482230","20231028","1"
"4493_482230","20231030","1"
"4493_482230","20231031","1"
"4493_482230","20231102","1"
"4493_482230","20231106","1"
"4493_482230","20231107","1"
"4493_482230","20231108","1"
"4493_482230","20231109","1"
"4493_482230","20231110","1"
"4493_482230","20231111","1"
"4493_482230","20231113","1"
"4493_482230","20231114","1"
"4493_482230","20231115","1"
"4493_482230","20231116","1"
"4493_482230","20231117","1"
"4493_482230","20231118","1"
"4493_482230","20231120","1"
"4493_482230","20231121","1"
"4493_482230","20231122","1"
"4493_482230","20231123","1"
"4493_482230","20231124","1"
"4493_482230","20231125","1"
"4493_482230","20231127","1"
"4493_482230","20231128","1"
"4493_482230","20231129","1"
"4493_482230","20231130","1"
"4493_482230","20231201","1"
"4493_482230","20231202","1"
"4493_482230","20231204","1"
"4493_482230","20231205","1"
"4493_482230","20231206","1"
"4493_482230","20231207","1"
"4493_482230","20231209","1"
"4493_482230","20231211","1"
"4493_482230","20231212","1"
"4493_482230","20231213","1"
"4493_482230","20231214","1"
"4493_482230","20231215","1"
"4493_482230","20231216","1"
"4493_482230","20231218","1"
"4493_482230","20231219","1"
"4493_482230","20231220","1"
"4493_482230","20231221","1"
"4493_482230","20231222","1"
"4493_482230","20231223","1"
"4493_482231","20230917","1"
"4493_482231","20230924","1"
"4493_482231","20231001","1"
"4493_482231","20231008","1"
"4493_482231","20231015","1"
"4493_482231","20231022","1"
"4493_482231","20231029","1"
"4493_482231","20231101","1"
"4493_482231","20231105","1"
"4493_482231","20231112","1"
"4493_482231","20231119","1"
"4493_482231","20231126","1"
"4493_482231","20231203","1"
"4493_482231","20231208","1"
"4493_482231","20231210","1"
"4493_482231","20231217","1"
"4493_482231","20231224","1"
"4493_482231","20231226","1"
"4493_482231","20231231","1"
"4493_482232","20230917","1"
"4493_482232","20230924","1"
"4493_482232","20231001","1"
"4493_482232","20231008","1"
"4493_482232","20231015","1"
"4493_482232","20231022","1"
"4493_482232","20231029","1"
"4493_482232","20231101","1"
"4493_482232","20231105","1"
"4493_482232","20231112","1"
"4493_482232","20231119","1"
"4493_482232","20231126","1"
"4493_482232","20231203","1"
"4493_482232","20231208","1"
"4493_482232","20231210","1"
"4493_482232","20231217","1"
"4493_482233","20230913","1"
"4493_482233","20230914","1"
"4493_482233","20231224","1"
"4493_482233","20231226","1"
"4493_482233","20231227","1"
"4493_482233","20231228","1"
"4493_482233","20231229","1"
"4493_482233","20231230","1"
"4493_482233","20231231","1"
"4493_482234","20231224","1"
"4493_482234","20231226","1"
"4493_482234","20231231","1"
"4493_482235","20230915","1"
"4493_482235","20230916","1"
"4493_482235","20230918","1"
"4493_482235","20230919","1"
"4493_482235","20230920","1"
"4493_482235","20230921","1"
"4493_482235","20230922","1"
"4493_482235","20230923","1"
"4493_482235","20230925","1"
"4493_482235","20230926","1"
"4493_482235","20230927","1"
"4493_482235","20230928","1"
"4493_482235","20230929","1"
"4493_482235","20230930","1"
"4493_482235","20231002","1"
"4493_482235","20231003","1"
"4493_482235","20231004","1"
"4493_482235","20231005","1"
"4493_482235","20231006","1"
"4493_482235","20231007","1"
"4493_482235","20231009","1"
"4493_482235","20231010","1"
"4493_482235","20231011","1"
"4493_482235","20231012","1"
"4493_482235","20231013","1"
"4493_482235","20231014","1"
"4493_482235","20231016","1"
"4493_482235","20231017","1"
"4493_482235","20231018","1"
"4493_482235","20231019","1"
"4493_482235","20231020","1"
"4493_482235","20231021","1"
"4493_482235","20231023","1"
"4493_482235","20231024","1"
"4493_482235","20231025","1"
"4493_482235","20231026","1"
"4493_482235","20231027","1"
"4493_482235","20231028","1"
"4493_482235","20231030","1"
"4493_482235","20231031","1"
"4493_482235","20231106","1"
"4493_482235","20231107","1"
"4493_482235","20231108","1"
"4493_482235","20231109","1"
"4493_482235","20231110","1"
"4493_482235","20231111","1"
"4493_482235","20231113","1"
"4493_482235","20231114","1"
"4493_482235","20231115","1"
"4493_482235","20231116","1"
"4493_482235","20231117","1"
"4493_482235","20231118","1"
"4493_482235","20231120","1"
"4493_482235","20231121","1"
"4493_482235","20231122","1"
"4493_482235","20231123","1"
"4493_482235","20231124","1"
"4493_482235","20231125","1"
"4493_482235","20231127","1"
"4493_482235","20231128","1"
"4493_482235","20231129","1"
"4493_482235","20231130","1"
"4493_482235","20231201","1"
"4493_482235","20231202","1"
"4493_482235","20231204","1"
"4493_482235","20231205","1"
"4493_482235","20231206","1"
"4493_482235","20231207","1"
"4493_482235","20231209","1"
"4493_482235","20231211","1"
"4493_482235","20231212","1"
"4493_482235","20231213","1"
"4493_482235","20231214","1"
"4493_482235","20231215","1"
"4493_482235","20231216","1"
"4493_482235","20231218","1"
"4493_482235","20231219","1"
"4493_482235","20231220","1"
"4493_482235","20231221","1"
"4493_482235","20231222","1"
"4493_482235","20231223","1"
"4493_482236","20230913","1"
"4493_482236","20230914","1"
"4493_482236","20231227","1"
"4493_482236","20231228","1"
"4493_482236","20231229","1"
"4493_482236","20231230","1"
"4493_482237","20230917","1"
"4493_482237","20230924","1"
"4493_482237","20231001","1"
"4493_482237","20231008","1"
"4493_482237","20231015","1"
"4493_482237","20231022","1"
"4493_482237","20231029","1"
"4493_482237","20231112","1"
"4493_482237","20231119","1"
"4493_482237","20231126","1"
"4493_482237","20231203","1"
"4493_482237","20231208","1"
"4493_482237","20231210","1"
"4493_482237","20231217","1"
"4493_482238","20231102","1"
"4493_482238","20231103","1"
"4493_482238","20231104","1"
"4493_482239","20230913","1"
"4493_482239","20230914","1"
"4493_482239","20230915","1"
"4493_482239","20230916","1"
"4493_482239","20230918","1"
"4493_482239","20230919","1"
"4493_482239","20230920","1"
"4493_482239","20230921","1"
"4493_482239","20230922","1"
"4493_482239","20230923","1"
"4493_482239","20230925","1"
"4493_482239","20230926","1"
"4493_482239","20230927","1"
"4493_482239","20230928","1"
"4493_482239","20230929","1"
"4493_482239","20230930","1"
"4493_482239","20231002","1"
"4493_482239","20231003","1"
"4493_482239","20231004","1"
"4493_482239","20231005","1"
"4493_482239","20231006","1"
"4493_482239","20231007","1"
"4493_482239","20231009","1"
"4493_482239","20231010","1"
"4493_482239","20231011","1"
"4493_482239","20231012","1"
"4493_482239","20231013","1"
"4493_482239","20231014","1"
"4493_482239","20231016","1"
"4493_482239","20231017","1"
"4493_482239","20231018","1"
"4493_482239","20231019","1"
"4493_482239","20231020","1"
"4493_482239","20231021","1"
"4493_482239","20231023","1"
"4493_482239","20231024","1"
"4493_482239","20231025","1"
"4493_482239","20231026","1"
"4493_482239","20231027","1"
"4493_482239","20231028","1"
"4493_482239","20231030","1"
"4493_482239","20231031","1"
"4493_482239","20231106","1"
"4493_482239","20231107","1"
"4493_482239","20231108","1"
"4493_482239","20231109","1"
"4493_482239","20231110","1"
"4493_482239","20231111","1"
"4493_482239","20231113","1"
"4493_482239","20231114","1"
"4493_482239","20231115","1"
"4493_482239","20231116","1"
"4493_482239","20231117","1"
"4493_482239","20231118","1"
"4493_482239","20231120","1"
"4493_482239","20231121","1"
"4493_482239","20231122","1"
"4493_482239","20231123","1"
"4493_482239","20231124","1"
"4493_482239","20231125","1"
"4493_482239","20231127","1"
"4493_482239","20231128","1"
"4493_482239","20231129","1"
"4493_482239","20231130","1"
"4493_482239","20231201","1"
"4493_482239","20231202","1"
"4493_482239","20231204","1"
"4493_482239","20231205","1"
"4493_482239","20231206","1"
"4493_482239","20231207","1"
"4493_482239","20231209","1"
"4493_482239","20231211","1"
"4493_482239","20231212","1"
"4493_482239","20231213","1"
"4493_482239","20231214","1"
"4493_482239","20231215","1"
"4493_482239","20231216","1"
"4493_482239","20231218","1"
"4493_482239","20231219","1"
"4493_482239","20231220","1"
"4493_482239","20231221","1"
"4493_482239","20231222","1"
"4493_482239","20231223","1"
"4493_482239","20231227","1"
"4493_482239","20231228","1"
"4493_482239","20231229","1"
"4493_482239","20231230","1"
"4493_482240","20230913","1"
"4493_482240","20230914","1"
"4493_482240","20230915","1"
"4493_482240","20230916","1"
"4493_482240","20230918","1"
"4493_482240","20230919","1"
"4493_482240","20230920","1"
"4493_482240","20230921","1"
"4493_482240","20230922","1"
"4493_482240","20230923","1"
"4493_482240","20230925","1"
"4493_482240","20230926","1"
"4493_482240","20230927","1"
"4493_482240","20230928","1"
"4493_482240","20230929","1"
"4493_482240","20230930","1"
"4493_482240","20231002","1"
"4493_482240","20231003","1"
"4493_482240","20231004","1"
"4493_482240","20231005","1"
"4493_482240","20231006","1"
"4493_482240","20231007","1"
"4493_482240","20231009","1"
"4493_482240","20231010","1"
"4493_482240","20231011","1"
"4493_482240","20231012","1"
"4493_482240","20231013","1"
"4493_482240","20231014","1"
"4493_482240","20231016","1"
"4493_482240","20231017","1"
"4493_482240","20231018","1"
"4493_482240","20231019","1"
"4493_482240","20231020","1"
"4493_482240","20231021","1"
"4493_482240","20231023","1"
"4493_482240","20231024","1"
"4493_482240","20231025","1"
"4493_482240","20231026","1"
"4493_482240","20231027","1"
"4493_482240","20231028","1"
"4493_482240","20231030","1"
"4493_482240","20231031","1"
"4493_482240","20231102","1"
"4493_482240","20231103","1"
"4493_482240","20231104","1"
"4493_482240","20231106","1"
"4493_482240","20231107","1"
"4493_482240","20231108","1"
"4493_482240","20231109","1"
"4493_482240","20231110","1"
"4493_482240","20231111","1"
"4493_482240","20231113","1"
"4493_482240","20231114","1"
"4493_482240","20231115","1"
"4493_482240","20231116","1"
"4493_482240","20231117","1"
"4493_482240","20231118","1"
"4493_482240","20231120","1"
"4493_482240","20231121","1"
"4493_482240","20231122","1"
"4493_482240","20231123","1"
"4493_482240","20231124","1"
